Canada	g:加拿大
阿洛菲	g:纽埃:阿洛菲
萨拉热窝	g:波斯尼亚和黑塞哥维那:萨拉热窝
加德满都	g:尼泊尔联邦民主共和国:加德满都
雅加达	g:印度尼西亚共和国:雅加达
弗里敦	g:塞拉利昂共和国:弗里敦
阿布扎比	g:阿拉伯联合酋长国:阿布扎比
科威特城	g:科威特国:科威特城
维多利亚	g:塞舌尔共和国:维多利亚
开普敦	g:南非共和国:开普敦
河内	g:越南社会主义共和国:河内
利伯维尔	g:加蓬共和国:利伯维尔
马累	g:马尔代夫共和国:马累
安道尔城	g:安道尔公国:安道尔城
布拉格	g:捷克共和国:布拉格
渥太华	g:加拿大:渥太华
瓦加杜古	g:布基纳法索:瓦加杜古
班吉	g:中非:班吉
德黑兰	g:伊朗伊斯兰共和国:德黑兰
首尔	g:韩国:首尔
努库阿洛法	g:汤加王国:努库阿洛法
哈拉雷	g:津巴布韦共和国:哈拉雷
罗索	g:多米尼克国:罗索
蒙罗维亚	g:利比里亚共和国:蒙罗维亚
开罗	g:阿拉伯埃及共和国:开罗
罗马	g:意大利共和国:罗马
利马	g:秘鲁共和国:利马
金斯敦	g:牙买加:金斯敦
拿骚	g:巴哈马国:拿骚
维拉港	g:瓦努阿图共和国:维拉港
圣多美	g:圣多美和普林西比民主共和国:圣多美
墨西哥城	g:墨西哥合众国:墨西哥城
吉布提	g:吉布提共和国:吉布提
圣地亚哥	g:智利共和国:圣地亚哥
圣马力诺	g:圣马力诺共和国:圣马力诺
莫罗尼	g:科摩罗联盟:莫罗尼
雅温得	g:喀麦隆共和国:雅温得
阿斯塔纳	g:哈萨克斯坦共和国:阿斯塔纳
贝尔格莱德	g:塞尔维亚共和国:贝尔格莱德
哈博罗内	g:博茨瓦纳共和国:哈博罗内
内罗毕	g:肯尼亚共和国:内罗毕
华盛顿哥伦比亚特区	g:美利坚合众国:华盛顿哥伦比亚特区
都柏林	g:爱尔兰:都柏林
圣多明各	g:多米尼加共和国:圣多明各
新加坡	g:新加坡共和国:新加坡
布琼布拉	g:布隆迪共和国:布琼布拉
马拉博	g:赤道几内亚共和国:马拉博
阿克拉	g:加纳共和国:阿克拉
布宜诺斯艾利斯	g:阿根廷共和国:布宜诺斯艾利斯
莫斯科	g:俄罗斯联邦:莫斯科
安曼	g:约旦哈希姆王国:安曼
苏瓦	g:斐济共和国:苏瓦
阿皮亚	g:萨摩亚独立国:阿皮亚
普拉亚	g:佛得角共和国:普拉亚
圣何塞	g:哥斯达黎加共和国:圣何塞
莫尔兹比港	g:巴布亚新几内亚独立国:莫尔兹比港
阿姆斯特丹	g:荷兰王国:阿姆斯特丹
世宗	g:韩国:世宗
瓦莱塔	g:马耳他共和国:瓦莱塔
圣萨尔瓦多	g:萨尔瓦多共和国:圣萨尔瓦多
布拉迪斯拉发	g:斯洛伐克共和国:布拉迪斯拉发
帝力	g:东帝汶民主共和国:帝力
贝鲁特	g:黎巴嫩共和国:贝鲁特
柏林	g:德意志联邦共和国:柏林
海牙	g:荷兰王国:海牙
基多	g:厄瓜多尔共和国:基多
亚的斯亚贝巴	g:埃塞俄比亚联邦民主共和国:亚的斯亚贝巴
东京	g:日本国:东京
北京	g:中华人民共和国:北京
伦敦	g:大不列颠及北爱尔兰联合王国:伦敦
巴斯特尔	g:圣基茨和尼维斯联邦:巴斯特尔
堪培拉	g:澳大利亚联邦:堪培拉
路易港	g:毛里求斯共和国:路易港
大马士革	g:阿拉伯叙利亚共和国:大马士革
阿尔及尔	g:阿尔及利亚民主人民共和国:阿尔及尔
达喀尔	g:塞内加尔共和国:达喀尔
恩贾梅纳	g:乍得共和国:恩贾梅纳
马塞卢	g:莱索托王国:马塞卢
巴西利亚	g:巴西联邦共和国:巴西利亚
阿布贾	g:尼日利亚联邦共和国:阿布贾
马德里	g:西班牙王国:马德里
布里奇敦	g:巴巴多斯:布里奇敦
马那瓜	g:尼加拉瓜共和国:马那瓜
奥斯陆	g:挪威王国:奥斯陆
圣约翰	g:安提瓜和巴布达:圣约翰
利隆圭	g:马拉维共和国:利隆圭
贝尔莫潘	g:伯利兹:贝尔莫潘
布鲁塞尔	g:比利时王国:布鲁塞尔
卢萨卡	g:赞比亚共和国:卢萨卡
赫尔辛基	g:芬兰共和国:赫尔辛基
卢森堡	g:卢森堡大公国:卢森堡
基辅	g:乌克兰:基辅
多多马	g:坦桑尼亚联合共和国:多多马
阿尤恩	g:阿拉伯撒哈拉民主共和国:阿尤恩
波多诺伏	g:贝宁共和国:波多诺伏
巴马科	g:马里:巴马科
维也纳	g:奥地利共和国:维也纳
平壤	g:朝鲜:平壤
维尔纽斯	g:立陶宛共和国:维尔纽斯
的黎波里	g:利比亚国:的黎波里
巴黎	g:法兰西共和国:巴黎
塔林	g:爱沙尼亚共和国:塔林
明斯克	g:白俄罗斯共和国:明斯克
斯德哥尔摩	g:瑞典王国:斯德哥尔摩
朱巴	g:南苏丹共和国:朱巴
圣彼得港	g:根西岛:圣彼得港
比绍	g:几内亚比绍共和国:比绍
廷布	g:不丹王国:廷布
布加勒斯特	g:罗马尼亚:布加勒斯特
惠灵顿	g:新西兰:惠灵顿
吉隆坡	g:马来西亚:吉隆坡
马普托	g:莫桑比克共和国:马普托
加拉加斯	g:委内瑞拉玻利瓦尔共和国:加拉加斯
摩纳哥	g:摩纳哥公国:摩纳哥
温得和克	g:纳米比亚共和国:温得和克
苏克雷	g:多民族玻利维亚国:苏克雷
拉巴斯	g:多民族玻利维亚国:拉巴斯
金边	g:柬埔寨王国:金边
萨那	g:也门共和国:萨那
第比利斯	g:格鲁吉亚:第比利斯
万象	g:老挝人民民主共和国:万象
卢布尔雅那	g:斯洛文尼亚共和国:卢布尔雅那
富纳富提	g:图瓦卢:富纳富提
努瓦克肖特	g:毛里塔尼亚伊斯兰共和国:努瓦克肖特
特古西加尔巴	g:洪都拉斯共和国:特古西加尔巴
巴格达	g:伊拉克共和国:巴格达
乔治敦	g:圭亚那合作共和国:乔治敦
马尼拉	g:菲律宾共和国:马尼拉
瓦尔帕莱索	g:智利共和国:瓦尔帕莱索
曼谷	g:泰王国:曼谷
布隆方丹	g:南非共和国:布隆方丹
华沙	g:波兰共和国:华沙
蒙特维多市	g:乌拉圭东岸共和国:蒙特维多市
霍尼亚拉	g:所罗门群岛:霍尼亚拉
埃里温	g:亚美尼亚共和国:埃里温
帕利基尔	g:密克罗尼西亚联邦:帕利基尔
突尼斯	g:突尼斯共和国:突尼斯
坎帕拉	g:乌干达共和国:坎帕拉
喀布尔	g:阿富汗伊斯兰共和国:喀布尔
哥本哈根	g:丹麦王国:哥本哈根
台湾	g:中华民国:台湾
圣菲波哥大	g:哥伦比亚共和国:圣菲波哥大
斯里巴加湾市	g:文莱达鲁萨兰国:斯里巴加湾市
萨格勒布	g:克罗地亚共和国:萨格勒布
梅莱凯约克	g:帕劳共和国:梅莱凯约克
新德里	g:印度共和国:新德里
地拉那	g:阿尔巴尼亚共和国:地拉那
班珠尔	g:冈比亚共和国:班珠尔
瓦杜兹	g:列支敦士登公国:瓦杜兹
亚伦	g:瑙鲁共和国:亚伦
乌兰巴托	g:蒙古:乌兰巴托
基希讷乌	g:摩尔多瓦共和国:基希讷乌
斯里贾亚瓦德纳普拉科特	g:斯里兰卡民主社会主义共和国:斯里贾亚瓦德纳普拉科特
里斯本	g:葡萄牙共和国:里斯本
尼亚美	g:尼日尔共和国:尼亚美
比勒陀利亚	g:南非共和国:比勒陀利亚
波德戈里察	g:黑山:波德戈里察
姆巴巴纳	g:斯威士兰王国:姆巴巴纳
马朱罗	g:马绍尔群岛共和国:马朱罗
安卡拉	g:土耳其共和国:安卡拉
金沙萨	g:刚果民主共和国:金沙萨
伯尔尼	g:瑞士联邦:伯尔尼
巴拿马城	g:巴拿马共和国:巴拿马城
帕拉马里博	g:苏里南共和国:帕拉马里博
布城	g:马来西亚:布城
阿斯马拉	g:厄立特里亚国:阿斯马拉
达卡	g:孟加拉人民共和国:达卡
雅典	g:希腊共和国:雅典
台拉维夫	g:以色列国:台拉维夫
布达佩斯	g:匈牙利:布达佩斯
太子港	g:海地共和国:太子港
塔那那利佛	g:马达加斯加共和国:塔那那利佛
利雅得	g:沙特阿拉伯王国:利雅得
尼古西亚	g:塞浦路斯共和国:尼古西亚
